기관 명,모델명,시리얼,서버타입,사이트명,방문자수,날짜,등록일자
서울시,SDOT001,4027,00Original,4027,6,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4033,00Original,4033,21,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4041,00Original,4041,13,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4015,00Original,4015,21,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4031,00Original,4031,8,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4046,00Original,4046,2,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4036,00Original,4036,9,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4023,00Original,4023,0,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4045,00Original,4045,0,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4019,00Original,4019,25,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4006,00Original,4006,0,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4001,00Original,4001,4,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4043,00Original,4043,1,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,4038,00Original,4038,0,2.02111E+11,2021-11-08 0:00
서울시,SDOT001,2993,00Original,2993,181,2.02111E+11,2021-11-08 0:01
서울시,SDOT001,2992,00Original,2992,177,2.02111E+11,2021-11-08 0:01
서울시,SDOT001,2996,00Original,2996,145,2.02111E+11,2021-11-08 0:01
서울시,SDOT001,2995,00Original,2995,162,2.02111E+11,2021-11-08 0:01
서울시,SDOT001,2994,00Original,2994,197,2.02111E+11,2021-11-08 0:01
서울시,SDOT001,2997,00Original,2997,155,2.02111E+11,2021-11-08 0:01
서울시,SDOT001,2999,00Original,2999,156,2.02111E+11,2021-11-08 0:01
서울시,SDOT001,2998,00Original,2998,174,2.02111E+11,2021-11-08 0:01
서울시,SDOT001,3001,00Original,3001,133,2.02111E+11,2021-11-08 0:01
